preprocessing,object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_mean,snr_db_median,snr_db_std,snr_db_q25,snr_db_q75,signal_power_mean,total_power_mean,reference_noise_power_mean
bandpassed,Box,125,-5.0,40000.0,100,11.970446111984465,12.049988497790462,0.6824122462093205,11.759152059537174,12.36732310269572,56.498716947378846,60.046386148974804,3.547669201595964
bandpassed,Box,125,-5.0,50000.0,100,24.975679937201438,25.038906273730817,0.5577857692061992,24.78929699364928,25.318585054210423,42.37189883288383,42.505579129177704,0.1336802962938819
bandpassed,Box,125,-5.0,60000.0,100,17.61578549293622,17.649937657928916,0.39009156605868944,17.39323608644277,17.884924491187675,17.555618102978034,17.858395741904598,0.3027776389265652
bandpassed,Box,125,0.0,40000.0,100,19.948912004608736,20.04410451346736,0.5675826579051995,19.73375642571108,20.288614551498416,353.4497936397951,356.99746284139104,3.547669201595964
bandpassed,Box,125,0.0,50000.0,100,32.073250519130745,32.149014752377546,0.5911579817940604,31.83642342345543,32.44184673625481,217.36257824947577,217.49625854576962,0.1336802962938819
bandpassed,Box,125,0.0,60000.0,100,22.7427704413996,22.799666646014188,0.6327653258879629,22.473733550031397,23.151331331741964,57.51342484998727,57.81620248891384,0.3027776389265652
bandpassed,Box,125,5.0,40000.0,100,6.409443188828362,6.459445198332174,0.9478461448338779,5.698894969941616,7.057531202154475,15.882316018568144,19.42998522016411,3.547669201595964
bandpassed,Box,125,5.0,50000.0,100,21.898600669336496,21.863102172407732,0.5026749429643838,21.562026225704514,22.22258943498205,20.83537882376689,20.969059120060773,0.1336802962938819
bandpassed,Box,125,5.0,60000.0,100,17.7751819142155,17.77111487346165,0.47991095325233896,17.47114416581398,18.057133051814958,18.251015043742473,18.553792682669037,0.3027776389265652
bandpassed,Box,125,10.0,40000.0,100,10.046471178346,10.055033047454454,0.7311075641201329,9.520210886584266,10.50275921866313,36.372683354499266,39.92035255609524,3.547669201595964
bandpassed,Box,125,10.0,50000.0,100,25.95269183091247,25.875667299688715,0.5177099257422348,25.546772635093806,26.304592169451787,53.01877528027902,53.15245557657291,0.1336802962938819
bandpassed,Box,125,10.0,60000.0,100,21.866542716195042,21.784278619083192,0.5349310905472654,21.509059324022036,22.176927208795,46.88921890716041,47.191996546086976,0.3027776389265652
bandpassed,Dose,25,-10.0,40000.0,100,7.182446263477334,7.1445722788358195,0.3106661095738689,6.996466155947775,7.444306864705377,3682.3944774982174,4385.130188004192,702.735710505975
bandpassed,Dose,25,-10.0,50000.0,100,16.394580424422365,16.375731525780584,0.2169975755475815,16.26539072575801,16.579941623241737,3290.056136375906,3365.42824873036,75.37211235445429
bandpassed,Dose,25,-10.0,60000.0,100,12.023870778831743,12.035582571279381,0.10679236202600935,11.950506239880898,12.111179908915648,1495.82175505132,1589.6563851706742,93.8346301193543
bandpassed,Dose,25,-5.0,40000.0,100,7.125401044025234,7.124845339280434,0.16961485521758457,6.97060084147586,7.253757453586815,3627.943684717462,4330.6793952234375,702.735710505975
bandpassed,Dose,25,-5.0,50000.0,100,15.6303946491437,15.630725253830118,0.1308862360684791,15.513140320199438,15.72597000425512,2757.0568950619213,2832.429007416375,75.37211235445429
bandpassed,Dose,25,-5.0,60000.0,100,9.834041977580009,9.810149078948506,0.09914465278606661,9.762999227773758,9.905959536920486,903.3989357574981,997.2335658768524,93.8346301193543
bandpassed,Dose,25,0.0,40000.0,100,7.980425667108047,7.967151646611927,0.06606302786973878,7.9409710973161305,8.005838132109186,4414.534250499853,5117.269961005829,702.735710505975
bandpassed,Dose,25,0.0,50000.0,100,17.294095381707532,17.27989840010209,0.05406783396630287,17.260953092653114,17.31684969821869,4042.534839680269,4117.906952034723,75.37211235445429
bandpassed,Dose,25,0.0,60000.0,100,12.795310214490117,12.786999596194542,0.06358729806190824,12.743640438644341,12.83734798797028,1786.242365798561,1880.0769959179152,93.8346301193543
bandpassed,Dose,25,5.0,40000.0,100,3.286826384069307,3.279227172600443,0.08845443613890083,3.2171631989361194,3.3518116858136624,1498.1806187710297,2200.9163292770045,702.735710505975
bandpassed,Dose,25,5.0,50000.0,100,14.415855785462309,14.407105784139985,0.0551349336849249,14.37257658938788,14.458895561478963,2083.679861034446,2159.0519733889,75.37211235445429
bandpassed,Dose,25,5.0,60000.0,100,11.36381640509107,11.378837810624162,0.06893196943148583,11.340703760214309,11.404450738839616,1284.6903911325894,1378.5250212519438,93.8346301193543
bandpassed,Dose,25,10.0,40000.0,100,2.560245386208428,2.636020106136531,0.30359855141881714,2.5381523193520685,2.6975525731146446,1270.033192127092,1972.768902633067,702.735710505975
bandpassed,Dose,25,10.0,50000.0,100,13.873773867256503,13.932018906861622,0.18544786647824782,13.891936579320937,13.968174483345358,1840.6341559656962,1916.0062683201506,75.37211235445429
bandpassed,Dose,25,10.0,60000.0,100,10.91731303855934,10.947213383766139,0.15090574357243994,10.89219166053801,11.024376129743588,1159.7078746694458,1253.5425047888002,93.8346301193543
bandpassed,Dose,50,-10.0,40000.0,100,9.963088477689244,9.938323733913107,0.15977416552214657,9.837018327626977,10.066698334524592,374.72650696488927,412.4935448034302,37.76703783854097
bandpassed,Dose,50,-10.0,50000.0,100,13.836650161700188,13.81673789956766,0.118790661272795,13.752092905312125,13.903000455510389,265.6819544878665,276.6602569720431,10.97830248417659
bandpassed,Dose,50,-10.0,60000.0,100,13.341564463113311,13.366657440822415,0.13275122482517326,13.232956697001525,13.447229552508102,95.37067489403653,99.78697025689443,4.416295362857905
bandpassed,Dose,50,-5.0,40000.0,100,8.230161133868451,8.210235825526293,0.3755535735101885,7.980992581839504,8.541845712061953,252.18547876598916,289.95251660453016,37.76703783854097
bandpassed,Dose,50,-5.0,50000.0,100,12.582324385910761,12.564978750303986,0.39374044621302656,12.297624053345563,12.910422470153483,199.76673301182004,210.74503549599663,10.97830248417659
bandpassed,Dose,50,-5.0,60000.0,100,13.055708338301558,13.050350997650519,0.4483448588166447,12.705972111901545,13.43116649989863,89.72538111335598,94.14167647621389,4.416295362857905
bandpassed,Dose,50,0.0,40000.0,100,13.896883480250244,13.899949162073566,0.07082013372545536,13.853109992998178,13.945277046258436,926.5273978346115,964.2944356731525,37.76703783854097
bandpassed,Dose,50,0.0,50000.0,100,17.682215099948223,17.684672852689246,0.08363391066211215,17.638034446296352,17.740103228347728,643.9263345774958,654.9046370616724,10.97830248417659
bandpassed,Dose,50,0.0,60000.0,100,17.097043564443027,17.106837782193246,0.13988317081337195,17.026053673711985,17.17808948566185,226.45630950884316,230.87260487170107,4.416295362857905
bandpassed,Dose,50,5.0,40000.0,100,11.336252677735175,11.324614456310382,0.15941311438950437,11.224558884512806,11.462604714642449,514.0760547246543,551.8430925631953,37.76703783854097
bandpassed,Dose,50,5.0,50000.0,100,15.858480642457348,15.874066405965616,0.1209220581494793,15.77248417361226,15.949931945045906,423.20361211069115,434.18191459486775,10.97830248417659
bandpassed,Dose,50,5.0,60000.0,100,16.66259526223644,16.665251315760827,0.15553745415545908,16.588096462106176,16.754431224054873,204.92379883528983,209.3400941981477,4.416295362857905
bandpassed,Dose,50,10.0,40000.0,100,10.02929092835016,10.047306777175972,0.16048618262268763,9.945729556654179,10.128322873618202,380.48092266581824,418.24796050435924,37.76703783854097
bandpassed,Dose,50,10.0,50000.0,100,14.558085036549688,14.558184712408922,0.11046999204767108,14.496479251966973,14.629407627680433,313.6766086671767,324.6549111513533,10.97830248417659
bandpassed,Dose,50,10.0,60000.0,100,15.526903109944504,15.527562561056207,0.1514065537900131,15.435287750765054,15.642022263099578,157.76385059661794,162.18014595947585,4.416295362857905
bandpassed,Dose,75,-10.0,40000.0,100,8.304741541773103,8.315479261324707,0.27636655476520644,8.121213473353414,8.514493547935182,100.09357129177215,114.85274907734413,14.759177785571971
bandpassed,Dose,75,-10.0,50000.0,100,17.339335498696997,17.351731806203837,0.21520926649190553,17.188487944810735,17.48660774678271,92.08607944270688,93.78327162184218,1.6971921791353055
