object,filename,distance_cm,mic,trial,band_center_hz,roi_start,roi_end,roi_length,raw_roi_power,raw_ref_noise_power,snr_db_raw,denoised_roi_power,denoised_ref_noise_power,snr_db_denoised,snr_improvement_db
Box,100cm_-10Grad.pickle,100,Mic2,35,50000,11550,12180,630,125.77309769588567,5.503607616684235,13.395080066231827,125.64344774148115,5.499373298582872,13.393891553980222,-0.0011885122516055446
Box,100cm_-10Grad.pickle,100,Mic2,36,50000,11550,12180,630,122.57068332578268,5.503607616684235,13.277873069581645,122.44853295774466,5.499373298582872,13.276839048429135,-0.0010340211525097232
Box,100cm_-10Grad.pickle,100,Mic2,37,50000,11550,12180,630,103.48666410248795,5.503607616684235,12.505035197028903,103.37806865892665,5.499373298582872,12.50374971262106,-0.0012854844078429295
Box,100cm_-10Grad.pickle,100,Mic2,38,50000,11550,12180,630,103.89435601068112,5.503607616684235,12.523068009555944,103.78830459178596,5.499373298582872,12.521914122792266,-0.0011538867636780026
Box,100cm_-10Grad.pickle,100,Mic2,39,50000,11550,12180,630,99.54230608171918,5.503607616684235,12.326591466558451,99.4244941993927,5.499373298582872,12.324685620808378,-0.0019058457500733539
Box,100cm_-10Grad.pickle,100,Mic2,40,50000,11550,12180,630,112.5793222582217,5.503607616684235,12.890435186123794,112.46162823612279,5.499373298582872,12.889173493007522,-0.001261693116271445
Box,100cm_-10Grad.pickle,100,Mic2,41,50000,11550,12180,630,124.62227832521282,5.503607616684235,13.353323752893424,124.49430413862241,5.499373298582872,13.35215260248966,-0.0011711504037634768
Box,100cm_-10Grad.pickle,100,Mic2,42,50000,11550,12180,630,119.48486302662188,5.503607616684235,13.161859730401071,119.35565085376614,5.499373298582872,13.160437800976435,-0.001421929424635593
Box,100cm_-10Grad.pickle,100,Mic2,43,50000,11550,12180,630,128.1841821709278,5.503607616684235,13.481283382406472,128.0559651683268,5.499373298582872,13.480234746436109,-0.0010486359703634207
Box,100cm_-10Grad.pickle,100,Mic2,44,50000,11550,12180,630,112.50052866402316,5.503607616684235,12.88723817548253,112.37815367314865,5.499373298582872,12.885782886160953,-0.0014552893215764584
Box,100cm_-10Grad.pickle,100,Mic2,45,50000,11550,12180,630,117.70718848937041,5.503607616684235,13.093592542236859,117.57856020483155,5.499373298582872,13.092117709599568,-0.0014748326372906462
Box,100cm_-10Grad.pickle,100,Mic2,46,50000,11550,12180,630,113.65155136761014,5.503607616684235,12.933708034620754,113.52622604560607,5.499373298582872,12.932185228646285,-0.001522805974468966
Box,100cm_-10Grad.pickle,100,Mic2,47,50000,11550,12180,630,115.79284073717487,5.503607616684235,13.018856539104537,115.66614877669666,5.499373298582872,13.017374373731522,-0.0014821653730141549
Box,100cm_-10Grad.pickle,100,Mic2,48,50000,11550,12180,630,123.8019637940394,5.503607616684235,13.323312468809515,123.66957730526929,5.499373298582872,13.321947846061706,-0.001364622747809463
Box,100cm_-10Grad.pickle,100,Mic2,49,50000,11550,12180,630,134.2007694662037,5.503607616684235,13.689215065197143,134.0545072261193,5.499373298582872,13.687762244591113,-0.0014528206060298032
Box,100cm_-10Grad.pickle,100,Mic2,50,50000,11550,12180,630,150.25934581819914,5.503607616684235,14.199883254049752,150.11256592434125,5.499373298582872,14.198947134619747,-0.0009361194300048226
Box,100cm_-10Grad.pickle,100,Mic2,51,50000,11550,12180,630,124.92970473607838,5.503607616684235,13.364517766408241,124.80812941804592,5.499373298582872,13.36359117212854,-0.0009265942797007654
Box,100cm_-10Grad.pickle,100,Mic2,52,50000,11550,12180,630,109.85796507664865,5.503607616684235,12.778631253233545,109.73942791037005,5.499373298582872,12.777214295526036,-0.0014169577075087147
Box,100cm_-10Grad.pickle,100,Mic2,53,50000,11550,12180,630,129.01577822500516,5.503607616684235,13.51062291073385,128.88688112650684,5.499373298582872,13.509579917878522,-0.001042992855328606
Box,100cm_-10Grad.pickle,100,Mic2,54,50000,11550,12180,630,128.729585751759,5.503607616684235,13.500548111334904,128.60676365861192,5.499373298582872,13.49970924519085,-0.0008388661440541512
