object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Box,50,-5.0,60000,100,27.36969970073043,16.9308066833197,-10.438893017410726,-10.415278356868809,0.26697303651156284
Box,50,0.0,40000,100,22.281665163420065,20.47443323045347,-1.8072319329665971,-1.8059334340162305,0.1015033095689269
Box,50,0.0,50000,100,27.308879051345865,24.000486114310966,-3.308392937034899,-3.3117747364682106,0.11355672930320751
Box,50,0.0,60000,100,28.566484370082147,22.283932563690232,-6.282551806391914,-6.274802204846255,0.3310817034823972
Box,50,5.0,40000,100,22.48182853060462,21.616666599832794,-0.865161930771828,-0.8639549887293061,0.04531705888001971
Box,50,5.0,50000,100,27.17512841318885,22.760539371213337,-4.414589041975513,-4.412098148290653,0.11027104227677333
Box,50,5.0,60000,100,27.955330507666087,20.858979274392137,-7.096351233273951,-7.092358989481365,0.13751292987123326
Box,50,10.0,40000,100,20.68835001669049,19.764613863719784,-0.9237361529707014,-0.909059589961883,0.0719414331805585
Box,50,10.0,50000,100,25.93502539636963,20.747231996241403,-5.1877934001282275,-5.185347270384868,0.10830514217357169
Box,50,10.0,60000,100,27.756688663266495,24.181639702554822,-3.5750489607116753,-3.587684565863718,0.16897340466567484
Box,75,-10.0,40000,100,15.654940736715782,14.358308189428435,-1.296632547287348,-1.3039303834966294,0.15827480560513096
Box,75,-10.0,50000,100,25.273379584715858,20.33855963179534,-4.934819952920515,-4.9308048188479,0.13777170971373504
Box,75,-10.0,60000,100,26.17725388119218,22.967601939761515,-3.2096519414306615,-3.219933696976364,0.16056515351033124
Box,75,-5.0,40000,100,17.233479231876117,16.609146930313774,-0.6243323015623435,-0.5952588495558508,0.13197163263060926
Box,75,-5.0,50000,100,26.312322824535627,21.72585060163622,-4.586472222899405,-4.635724526552815,0.3389734230278228
Box,75,-5.0,60000,100,26.50306332843791,20.825271900428994,-5.677791428008918,-5.689986437858801,0.14292280818073383
Box,75,0.0,40000,100,14.698482144037818,11.314393104126344,-3.3840890399114767,-3.3537749632917846,0.5106440309172687
Box,75,0.0,50000,100,24.629021825088763,21.32875911159736,-3.300262713491401,-3.2465363892599814,0.3004641966714505
Box,75,0.0,60000,100,25.915858619453957,22.831284472645642,-3.0845741468083103,-3.029838079699765,0.3863124800250913
Box,75,5.0,40000,100,12.210778231329087,9.999939708982474,-2.2108385223466125,-2.1934249335054075,0.3226497409991407
Box,75,5.0,50000,100,22.353760073097057,18.996414038475763,-3.3573460346212958,-3.380619530278537,0.19303791941335577
Box,75,5.0,60000,100,23.54215451462845,20.12438987579711,-3.41776463883134,-3.422897979011994,0.23200035824230444
Box,75,10.0,40000,100,15.122200042780598,12.755703552146649,-2.366496490633948,-2.384549170927154,0.2298276390022991
Box,75,10.0,50000,100,25.666348006296772,21.16825847675446,-4.498089529542309,-4.509684313919044,0.18511234992855766
Box,75,10.0,60000,100,27.54040184487354,25.471545055584112,-2.0688567892894296,-2.066936424334843,0.07930040996513579
Box,100,-10.0,40000,100,15.394483109994859,15.186295429986165,-0.20818768000869325,-0.17861071104930915,0.3116824851330817
Box,100,-10.0,50000,100,20.908209945241673,16.89288223509379,-4.015327710147885,-3.9736017258361844,0.46012857684785313
Box,100,-10.0,60000,100,24.785077613685576,20.802656872131248,-3.982420741554332,-3.963428542053288,0.2677900615396557
Box,100,-5.0,40000,100,16.62567755274349,16.788049557982745,0.16237200523925588,0.1636423441577568,0.14507366536188118
Box,100,-5.0,50000,100,21.727798129677048,16.754556047039323,-4.973242082637725,-4.982012298003243,0.2645167123529387
Box,100,-5.0,60000,100,25.37554403109921,20.44576464967907,-4.929779381420142,-4.939714192515538,0.28080964812374526
Box,100,0.0,40000,100,20.8075911378936,20.57245824801617,-0.23513288987743355,-0.20683568496433402,0.15148522839991058
Box,100,0.0,50000,100,24.434606440456193,7.276606130118823,-17.158000310337368,-16.73620229041014,4.610048850844176
Box,100,0.0,60000,100,26.26028152748038,22.08938660999878,-4.1708949174816015,-4.085337648733756,0.4465438328972695
Box,100,5.0,40000,100,10.645653852013977,9.6195360711801,-1.0261177808338757,-0.8086901213302005,0.84034364713215
Box,100,5.0,50000,100,16.68927518642408,10.992085134419188,-5.697190052004893,-5.687932331392539,0.6477836664108217
Box,100,5.0,60000,100,21.49610154551289,19.226948312981726,-2.2691532325311603,-2.1988452474189994,0.5955278564165544
Box,100,10.0,40000,100,13.871233893680945,9.674889108634023,-4.1963447850469215,-4.154426699072968,0.6506302007769489
Box,100,10.0,50000,100,22.14108331572342,16.209512638305128,-5.931570677418292,-6.025954778016108,0.6814619397668816
Box,100,10.0,60000,100,28.58718903157001,27.654661147160404,-0.9325278844096073,-0.8924779651646606,0.13375536216864878
Box,125,-10.0,40000,100,8.606237866006282,7.551405915151961,-1.054831950854322,-0.9210229258041509,0.640297009656025
Box,125,-10.0,50000,100,22.89531479276316,17.569047551222823,-5.326267241540341,-5.30878104475083,0.9690557038790538
Box,125,-10.0,60000,100,17.396796392926486,14.709777571053314,-2.6870188218731728,-2.6847995021413444,0.3333773011295644
Box,125,-5.0,40000,100,11.970446111984465,12.476341348737028,0.505895236752562,0.519667365590629,0.09180586308694688
Box,125,-5.0,50000,100,24.975679937201438,14.331069629004936,-10.644610308196505,-10.576864006041873,0.9662769364612186
