object,distance_cm,angle_deg,mic,trial,band_center_hz,preprocessing,filename,roi_start,roi_end,roi_length,object_roi_power_mean,reference_roi_noise_power_mean,estimated_signal_power,snr_db
Box,100,-10.0,Mic2,28,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,85.40559321060381,0.755561583780484,84.65003162682332,20.49357256419524
Box,100,-10.0,Mic2,28,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.90846170966449,0.18872820490192116,53.71973350476257,24.542970404247924
Box,100,-10.0,Mic2,29,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,113.4659211359285,7.729326246839716,105.73659488908878,11.360836815954382
Box,100,-10.0,Mic2,29,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,80.84981946007373,2.7446360583479934,78.10518340172574,14.541950918208018
Box,100,-10.0,Mic2,29,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,82.93445644496371,0.755561583780484,82.17889486118322,20.364904283026384
Box,100,-10.0,Mic2,29,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,54.14220356120731,0.18872820490192116,53.95347535630539,24.56182615431818
Box,100,-10.0,Mic2,30,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,110.41668497171408,7.729326246839716,102.68735872487436,11.23375344482084
Box,100,-10.0,Mic2,30,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,79.96124495516467,2.7446360583479934,77.21660889681668,14.492259602058288
Box,100,-10.0,Mic2,30,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,79.60228989873875,0.755561583780484,78.84672831495826,20.185138090335293
Box,100,-10.0,Mic2,30,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,50.561995447920076,0.18872820490192116,50.373267243018155,24.263633112851593
Box,100,-10.0,Mic2,31,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,132.8230245118183,7.729326246839716,125.09369826497857,12.090937933698187
Box,100,-10.0,Mic2,31,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.41808486064825,2.7446360583479934,95.67344880230026,15.423066648421006
Box,100,-10.0,Mic2,31,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.2653479241446,0.755561583780484,94.50978634036412,20.972069130652496
Box,100,-10.0,Mic2,31,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.44300883781438,0.18872820490192116,58.25428063291246,24.894910345271807
Box,100,-10.0,Mic2,32,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,130.07866525367513,7.729326246839716,122.34933900683541,11.994599886109754
Box,100,-10.0,Mic2,32,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,96.20040209262847,2.7446360583479934,93.45576603428047,15.321213369494037
Box,100,-10.0,Mic2,32,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.98480619698908,0.755561583780484,93.22924461320859,20.91282297092853
Box,100,-10.0,Mic2,32,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.481905980216546,0.18872820490192116,57.293177775314625,24.822661020210184
Box,100,-10.0,Mic2,33,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,144.93646983876178,7.729326246839716,137.20714359192206,12.492350843871725
Box,100,-10.0,Mic2,33,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,109.19066155811868,2.7446360583479934,106.44602549977068,15.886446856190888
Box,100,-10.0,Mic2,33,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,104.07298745037808,0.755561583780484,103.31742586659759,21.35903708988289
Box,100,-10.0,Mic2,33,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,62.55076773229433,0.18872820490192116,62.36203952739241,25.190835010792618
Box,100,-10.0,Mic2,34,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,129.75672868361593,7.729326246839716,122.02740243677621,11.983157278604953
Box,100,-10.0,Mic2,34,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,96.0474707200359,2.7446360583479934,93.30283466168791,15.314100736841542
Box,100,-10.0,Mic2,34,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.22391151518262,0.755561583780484,92.46834993140213,20.87723239563664
Box,100,-10.0,Mic2,34,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,57.718051721793096,0.18872820490192116,57.529323516891175,24.840524581085717
Box,100,-10.0,Mic2,35,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,128.698041603809,7.729326246839716,120.96871535696928,11.945314298216001
Box,100,-10.0,Mic2,35,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.40242979391964,2.7446360583479934,92.65779373557164,15.28397190357593
Box,100,-10.0,Mic2,35,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,91.9871056101487,0.755561583780484,91.23154402636821,20.818751567527652
