object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Glas,25,-5.0,50000.0,100,10.037532370076375,10.036446392367797,0.006619478783899887,25.758626209344232,15.721093839267859
Glas,25,-5.0,60000.0,100,5.799257664100229,5.802608695855588,0.030299052816832702,21.520351503368087,15.721093839267859
Glas,25,0.0,40000.0,100,1.00825561067082,1.0099633830485848,0.022683892682006452,14.41150980051606,13.40325418984524
Glas,25,0.0,50000.0,100,10.212277678176083,10.212372989731977,0.006382351776027459,23.61553186802132,13.40325418984524
Glas,25,0.0,60000.0,100,6.974339781508,6.973532938551949,0.044713065254850776,20.37759397135324,13.40325418984524
Glas,25,5.0,40000.0,100,0.9671438938173381,0.9677912463557581,0.005137645913371573,13.29562986424295,12.32848597042561
Glas,25,5.0,50000.0,100,10.899047209117498,10.898654386042672,0.005024852193384517,23.227533179543105,12.32848597042561
Glas,25,5.0,60000.0,100,7.730043166157631,7.728849400744001,0.009950380513077393,20.05852913658324,12.32848597042561
Glas,25,10.0,40000.0,100,0.010306898615436797,0.0060284752664312435,0.02406551689518094,8.690907962772089,8.680601064156653
Glas,25,10.0,50000.0,100,11.291645647233308,11.29529623460872,0.0186613707598965,19.97224671138996,8.680601064156653
Glas,25,10.0,60000.0,100,9.270229229027672,9.276554537892409,0.0332338797913399,17.950830293184325,8.680601064156653
Glas,50,-10.0,40000.0,100,4.675842467214574,4.6754248566152325,0.007167215823325653,19.79260201323314,15.116759546018564
Glas,50,-10.0,50000.0,100,8.741591372265152,8.741408833100788,0.007390432324750563,23.858350918283712,15.116759546018564
Glas,50,-10.0,60000.0,100,8.53198573722162,8.53193497001201,0.021781278046847537,23.64874528324018,15.116759546018564
Glas,50,-5.0,40000.0,100,4.64937237468765,4.648654398320868,0.00551940100554237,20.744362457913184,16.094990083225536
Glas,50,-5.0,50000.0,100,8.36796513733496,8.369278567398608,0.006899429404688183,24.46295522056049,16.094990083225536
Glas,50,-5.0,60000.0,100,7.9095599328443065,7.910737989200292,0.018350941862223583,24.004550016069842,16.094990083225536
Glas,50,0.0,40000.0,100,4.405143643710568,4.403438649469956,0.016615994507149158,15.542547568745073,11.137403925034505
Glas,50,0.0,50000.0,100,8.69106322425992,8.689015061608892,0.017481374041612468,19.828467149294426,11.137403925034505
Glas,50,0.0,60000.0,100,9.125284664063114,9.125214417796101,0.032874995668526565,20.26268858909762,11.137403925034505
Glas,50,5.0,40000.0,100,4.011107053224441,4.011158217398101,0.018230812642010263,15.204463324406538,11.193356271182099
Glas,50,5.0,50000.0,100,9.601745473580978,9.602153640340156,0.013416959340646822,20.795101744763077,11.193356271182099
Glas,50,5.0,60000.0,100,11.066792768521994,11.065285596954187,0.030362126857954263,22.260149039704093,11.193356271182099
Glas,50,10.0,40000.0,100,3.642734282303928,3.6437958592514894,0.024283549784188563,14.372402153097845,10.729667870793914
Glas,50,10.0,50000.0,100,9.28136977360127,9.28244885868702,0.019880987371108837,20.011037644395184,10.729667870793914
Glas,50,10.0,60000.0,100,11.443671130772495,11.44363408643536,0.03507700172105663,22.17333900156641,10.729667870793914
Glas,75,-10.0,40000.0,100,3.6409092576436626,3.640636654532469,0.022003941368639108,17.98945395472807,14.348544697084408
Glas,75,-10.0,50000.0,100,12.275350758952486,12.275367362901564,0.01755265602832868,26.623895456036895,14.348544697084408
Glas,75,-10.0,60000.0,100,11.598405750579179,11.59537794527137,0.05899557062134154,25.94695044766359,14.348544697084408
Glas,75,-5.0,40000.0,100,3.71058580296463,3.711136669345091,0.022127033609572012,18.84169810296285,15.131112299998223
Glas,75,-5.0,50000.0,100,11.75412019835929,11.755211286890248,0.02233454919676573,26.885232498357514,15.131112299998223
Glas,75,-5.0,60000.0,100,10.588183887396983,10.596595167975416,0.06355649358905595,25.71929618739521,15.131112299998223
Glas,75,0.0,40000.0,100,3.5995012914922047,3.6151090419755203,0.0666379873908916,17.073257400012395,13.47375610852019
Glas,75,0.0,50000.0,100,12.057527044545223,12.072628007266605,0.06711836582115971,25.53128315306541,13.47375610852019
Glas,75,0.0,60000.0,100,11.309388599221888,11.313463925907408,0.0930771591853408,24.783144707742075,13.47375610852019
Glas,75,5.0,40000.0,100,3.9323758941229556,3.9164887642857145,0.18447278243024118,9.845255765161552,5.912879871038597
Glas,75,5.0,50000.0,100,12.20410110763115,12.199360187185858,0.1840233266751383,18.116980978669748,5.912879871038597
Glas,75,5.0,60000.0,100,10.835010100000472,10.873705956908491,0.2865958298648397,16.74788997103907,5.912879871038597
Glas,75,10.0,40000.0,100,3.4906409413032615,3.481111294571691,0.12119331141789987,8.193925013694145,4.703284072390883
Glas,75,10.0,50000.0,100,12.286193643795741,12.285314167392285,0.13271642097434136,16.989477716186624,4.703284072390883
Glas,75,10.0,60000.0,100,12.135553765129048,12.120384775940703,0.18832162425433044,16.83883783751993,4.703284072390883
Glas,100,-10.0,40000.0,100,3.846116254448554,3.8372437091424194,0.05905662846932243,15.66869294580141,11.822576691352856
Glas,100,-10.0,50000.0,100,8.184226293044375,8.189202494542755,0.055759372640653344,20.006802984397233,11.822576691352856
Glas,100,-10.0,60000.0,100,10.892289199963589,10.940674026991491,0.24573637770954584,22.714865891316446,11.822576691352856
Glas,100,-5.0,40000.0,100,4.045466657486583,4.050310937447865,0.026918756263348272,20.922082076326657,16.876615418840075
Glas,100,-5.0,50000.0,100,8.1465856859367,8.147541619864377,0.0182293779774825,25.02320110477677,16.876615418840075
Glas,100,-5.0,60000.0,100,10.038035718203407,10.020027282483337,0.09626092584165166,26.914651137043478,16.876615418840075
Glas,100,0.0,40000.0,100,4.084874796870871,4.0882892563948285,0.022879967913910677,21.286989473006738,17.202114676135867
Glas,100,0.0,50000.0,100,8.091613998710482,8.096252297437792,0.03962732317897387,25.29372867484635,17.202114676135867
Glas,100,0.0,60000.0,100,9.745365760200125,9.737709693048872,0.1321478002503766,26.94748043633599,17.202114676135867
Glas,100,5.0,40000.0,100,4.031721321499891,4.028181747469756,0.027883975026800727,18.446895853514754,14.415174532014865
Glas,100,5.0,50000.0,100,8.666591657807505,8.665225017598559,0.023294503796166103,23.08176618982237,14.415174532014865
Glas,100,5.0,60000.0,100,11.097168552796038,11.102408516375512,0.06961932359168825,25.5123430848109,14.415174532014865
Glas,100,10.0,40000.0,100,3.47193475406581,3.467646359186216,0.06594839422439241,11.556033365609805,8.084098611543995
Glas,100,10.0,50000.0,100,8.901546839502272,8.90360853783535,0.05691194731168753,16.985645451046267,8.084098611543995
Glas,100,10.0,60000.0,100,12.790855623603436,12.788589354984492,0.11830665380111909,20.874954235147428,8.084098611543995
