category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Dose,<mean_over_trials>,<mean_over_trials>,50.0,5.0,-1,100,True,0.04357787137382908,0.4980973490458728,-0.20612859682674642,0.45722160644962445,0.5,0.5015382296835792,-24.26721565164575,25.30299322096099,0.15382296835791953,-29.267215651645756,45.0,6,6.13779565113442e-08,2.7728785752183333e-08,1.2566498119782276e-08,7.394445463112648e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,10.0,-1,100,True,0.08682408883346517,0.492403876506104,-0.13144551391507744,0.4789247241728618,0.5,0.4966354946562424,-15.347464412326824,21.86854065355742,-0.33645053437575956,-25.347464412326815,45.0,6,6.045450939389173e-08,1.6623797700317284e-08,4.606445653627329e-09,6.506095504751906e-08
Dose,<mean_over_trials>,<mean_over_trials>,75.0,-10.0,-1,100,True,-0.13023613325019776,0.738605814759156,0.11006553976710393,0.7352150576073395,0.75,0.7434081005590317,8.514247497184268,24.032559432773027,-0.6591899440968274,18.51424749718427,45.0,6,1.3561828718835683e-07,-2.0334432404406716e-08,3.0823887038568737e-09,1.3870067589221372e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,-5.0,-1,100,True,-0.06536680706074363,0.7471460235688092,-0.09537914942988868,0.7426642543038504,0.75,0.7487638992143406,-7.318342379504461,3.034513058510555,-0.12361007856593886,-2.3183423795044575,45.0,4,1.3760352800567187e-07,1.7699534248532583e-08,2.309914086090799e-09,1.3991344209176266e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,0.0,-1,100,True,0.0,0.75,-0.18253030872134735,0.7311768395447246,0.75,0.7536158731665107,-14.016778690535375,18.34982969169889,0.3615873166510686,-14.016778690535375,45.0,6,1.391953504632832e-07,3.480388184801312e-08,8.737011465254192e-09,1.479323619285374e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,5.0,-1,100,True,0.06536680706074363,0.7471460235688092,-0.03888962035983819,0.7488523341971579,0.75,0.7498614678754097,-2.9728307070840394,10.42703896341788,-0.013853212459025155,-7.972830707084029,45.0,5,1.380662860550197e-07,7.1810736513329745e-09,4.0632288779894865e-10,1.3847260894281864e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,10.0,-1,100,True,0.13023613325019776,0.738605814759156,0.003216408548078172,0.7494847597860645,0.75,0.7494916613515611,0.24588292326259478,12.748475166976144,-0.050833864843891075,-9.754117076737401,45.0,4,1.3794177888532405e-07,-5.928807395839879e-10,3.5282764727877204e-11,1.3797706165005192e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,-10.0,-1,100,True,-0.17364817766693033,0.984807753012208,-0.09340859915117192,0.995379981423581,1.0,0.9997532064535691,-5.361058896714814,8.093307095352802,-0.024679354643086793,4.638941103285191,45.0,4,2.4530374100729584e-07,2.3049367661998704e-08,2.1987936471952542e-09,2.475025346544911e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,-5.0,-1,100,True,-0.08715574274765817,0.9961946980917455,-0.01442444483829845,1.0001152602336902,1.0,1.000219275139804,-0.8263072720342364,7.28368897131727,0.021927513980402047,4.173692727965772,45.0,4,2.455923305089324e-07,3.5466429502529148e-09,8.395165214940566e-11,2.456762821610818e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,0.0,-1,100,True,0.0,1.0,0.19672929079560247,0.9762477671704362,1.0,0.9958725404198083,11.393413350123753,19.81579733983231,-0.41274595801916725,11.393413350123751,-45.0,5,2.431853218783547e-07,-4.9070004006553795e-08,9.935419008823288e-09,2.53120740887178e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,5.0,-1,100,True,0.08715574274765817,0.9961946980917455,0.5109331635955998,0.8540090870966421,1.0,0.995180495440625,30.891071597011976,44.699446349433046,-0.4819504559374965,25.891071597011972,-45.0,6,2.4077283392731596e-07,-1.4427274658667086e-07,8.64937035303667e-08,3.272665374576827e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,10.0,-1,100,True,0.17364817766693033,0.984807753012208,0.0013703208555410067,0.9978312720973243,1.0,0.9978322130271259,0.07868419685694354,17.276941858120015,-0.21677869728741195,-9.921315803143045,45.0,3,2.444233974261426e-07,-3.3609526356465284e-10,3.3189372692410366e-11,2.44456586798835e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,-10.0,-1,100,True,-0.2170602220836629,1.23100969126526,-0.3326016686792755,1.204708330964546,1.25,1.249778393437661,-15.434020160450075,11.849720433442622,-0.022160656233904952,-5.434020160450075,45.0,6,3.826063701878398e-07,1.0575147575629463e-07,2.9264675994442008e-08,4.118710461822818e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,-5.0,-1,100,True,-0.1089446784345727,1.2452433726146819,-0.17349892172555692,1.2381779313821335,1.25,1.2502745560882498,-7.976600037476759,6.49397473561622,0.027455608824977773,-2.9766000374767714,45.0,5,3.8348413925995803e-07,5.379436051851668e-08,7.579529305786121e-09,3.9106366856574413e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,0.0,-1,100,True,0.0,1.25,0.28039679923032335,1.2182176530274433,1.25,1.2500706440702871,12.96199909017723,28.219227947924843,0.0070644070287118055,12.961999090177244,-45.0,5,3.8301997226347474e-07,-8.825812987393732e-08,2.0371514408089482e-08,4.033914866715642e-07
Dose,<mean_over_trials>,<mean_over_trials>,125.0,5.0,-1,100,True,0.1089446784345727,1.2452433726146819,0.06269494588167268,1.2481638322919009,1.25,1.2497374158121017,2.875535432795702,4.634184767508782,-0.026258418789826266,-2.124464567204285,45.0,4,3.8332993552735875e-07,-1.9275450615803938e-08,1.0020579126094617e-09,3.843319934399682e-07
