category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,<mean_over_trials>,<mean_over_trials>,125.0,5.0,-1,100,True,0.1089446784345727,1.2452433726146819,0.04272725990856691,1.2504097858591414,1.25,1.2511395810666364,1.9570700226128888,6.641865959247252,0.11395810666363637,-3.0429299773871037,45.0,6,3.8420431082647903e-07,-1.3142711698670778e-08,4.823430349077624e-10,3.846866538613868e-07
Box,<mean_over_trials>,<mean_over_trials>,125.0,10.0,-1,100,True,0.2170602220836629,1.23100969126526,-0.38780729024856647,1.1885995068718949,1.25,1.250265284692032,-18.0700786622348,60.635248100033266,0.026528469203190852,-28.070078662234806,45.0,5,3.826013306983739e-07,1.24976061141148e-07,4.08594289492384e-08,4.234607596476123e-07
Dose,<mean_over_trials>,<mean_over_trials>,25.0,-10.0,-1,100,True,-0.04341204441673258,0.246201938253052,-0.0668574406862855,0.24535102368862935,0.25,0.2542971533465889,-15.242842689800414,2.3460832505099063,0.4297153346588922,-5.242842689800426,45.0,7,1.58993801816447e-08,4.3359767464173236e-09,1.2177717038805559e-09,1.7117151885525257e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,-5.0,-1,100,True,-0.02178893568691454,0.2490486745229364,0.07229207032268964,0.24681618754783405,0.25,0.25718548533536706,16.325224175060317,9.410749008380352,0.7185485335367059,21.325224175060328,-45.0,5,1.6250774907637266e-08,-4.764038740258965e-09,1.4322825573483118e-09,1.7683057464985577e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,0.0,-1,100,True,0.0,0.25,0.06248949751067921,0.25486513801342076,0.25,0.2624141304764993,13.776382173544828,6.267859975323967,1.2414130476499308,13.776382173544818,-45.0,6,1.6938969029030076e-08,-4.1569677655580655e-09,1.0549750065306551e-09,1.799394403556073e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,5.0,-1,100,True,0.02178893568691454,0.2490486745229364,11.084840528921063,-11.177747901915996,0.25,15.74216432738518,135.23910829022066,1590.4804008659682,1549.2164327385178,130.23910829022066,45.0,20,5.96081021277342e-05,5.910374316301747e-05,5.860371659035336e-05,0.00011821181871808756
Dose,<mean_over_trials>,<mean_over_trials>,25.0,10.0,-1,100,True,0.04341204441673258,0.246201938253052,0.05723864585137291,0.26160981505602854,0.25,0.267798353080351,12.341490631888448,2.070211522545704,1.7798353080350993,2.341490631888462,-45.0,5,1.764972976069554e-08,-3.865366220704148e-09,8.809440711506258e-10,1.8530673831846167e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,-10.0,-1,100,True,-0.08682408883346517,0.492403876506104,-0.09876853422064648,0.4855488684837921,0.5,0.49549261047767995,-11.498017080146157,1.3771743193703467,-0.4507389522320049,-1.4980170801461554,45.0,5,6.02513626026351e-08,1.2278692792382667e-08,2.5364021167412504e-09,6.278776471937634e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,-5.0,-1,100,True,-0.04357787137382908,0.4980973490458728,-0.1741189665878379,0.4643739377686244,0.5,0.4959441184290372,-20.55374545571957,13.482672586637767,-0.4055881570962816,-15.553745455719564,45.0,6,6.014656739780379e-08,2.259731924024363e-08,8.527283088427723e-09,6.867385048623152e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,0.0,-1,100,True,0.0,0.5,-0.1806492847184607,0.47006089775814386,0.5,0.5035786052549132,-21.022286250351456,18.311339086025303,0.35786052549131586,-21.022286250351442,45.0,5,6.199660797559369e-08,2.387369740958994e-08,9.23090744210013e-09,7.122751541769382e-08
